id,job_title,company,description,city,location,apply_link
ZXR2RXVPY0N3bE41VkpzdkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa0ZwY2t0RFFscENkSGR6YmpCelVWSlBXVFJNY0ZGSWJrZEhielozYzBaV1lVbDFZMngyYmtrMmRGZG5RVGw2YzFBNWNubzRNaTFoZDB4NlpUUXlORVp3ZVdwT1EyTmtlVVZLZUhOT1YxcEpVa0pWWm5NeFpVMHdZM2s1YmtkTFRVUnBja05KVUc4eGFFcFJXbGh5VVhaRlEybHlSRGxIYldWc2MzTTBWbEphUkZndFdHWVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daUmRHSTBOakZLZFRsaWJWWmhibkZ2TW01dlFscEdiMUkwYjJOQg,Senior Student Data Officer,Imperial College London,"Senior Student Data Officer (HESA In-year Programme)
Job Type: Full-Time.
Starting Salary: 46614 - 56345 per annum + 46614 plus benefits
To find out more about the job please click the apply for job b...",London,Dalston,https://talents.studysmarter.co.uk/companies/imperial-college-london/dalston/senior-student-data-officer-hesa-in-year-programme-london-49036475/
TWJfVXBVVm56a0I4WGtzcUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURkZJTVRGT2RreExhM1Z0ZFUxRllXUjFOMjFyYzNwR1V6bEVaVk50ZVVSa1VXRlFaVzlMVG1sQlNWRlJjWE5ITTJGa05tWkZlWE5MZFdSdWJYcEJla28zZEZoS1kxTTRjbXRPTWs1blFWVTRRMjF3Ylc0emVrYzVia3hQY1RWalQxZENjR1J2ZW5vd1IxaEdjRmRFTVY5d2NpMWhWbXhFTWpoSFVuRk9hMlZZZVVzME4wa1NGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daVVQxbE9aR05WTkMxeWVqWlNkM014TTFoV1VHZzJkMHB4VFZOQg,HESA Student Data Specialist (fully remote),Morgan Hunt UK Limited,"HESA Student Data Specialist (Contract)

Contract Length: 7 months (starting March)

FTE: 0.6 FTE preferred (up to 1.0 FTE considered)

Location: Fully Remote (UK-based)

IR35 Status: Inside IR35

Rat...",N/A,Anywhere,https://talents.studysmarter.co.uk/companies/morgan-hunt-uk-limited/hesa-student-data-specialist-fully-remote-27972417/
UFZsNGFETjdIZlNMcjJDaEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMjF6ZWpWR2JFYzJWbVZHWkU5M2JXSlFWblJMVlZSR1owWlpUa2RzYURWZlMwMTFiR0ZmVUhKeU5rNVBkMU54TnpSTll6SkpVbXhHVnpOT1RXSmFWbFE1TUZGTGFEVkdkVmMyVUVOSE5XeFNRbWx0YWpWeVlsVkhWSEJHVm5SVGJGWTVhWFZVVDFaNk5sVk9XVmQ2YmtSYWVrSjJNVlZoTjA0MloyUkhWemhuTUVRMVlrRVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daU2VXa3hlWEJqYmxBMFYwUnJSbEl5YTFGNGMwTlBOME5KVDFoUg,Student Systems and Data Analyst (SIS Project),University of Stirling,"Interviews are expected to take place on
Thursday 12 March 2026.

There is an expectation that work will be undertaken in the UK.

For the purposes of sponsorship, this role may be eligible depending ...",Milpitas,Stirling,https://talents.studysmarter.co.uk/companies/university-of-stirling/stirling/student-systems-and-data-analyst-sis-project-19684113/
UTFCdVllWFY0a0VuQVhWRUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMFZqY1daSVVWVnVTM2hUWkVOa2JHUjBjREF6ZDBoWGRrZDZYM3BoYUUwdFQxaGZVbmxuT1V3Mk1pMVNNMmxOTFdwQ1lYQXhWR0pFY0VKbFVuQjRhVTR6TmxsNFZuaGZVRUpzVFZSdGJURXhVMU5rVGpCRFpuYzBaekpOZVVSTmFXZGZRbFUyTW1KMFJqaHBUakkxZW5SSE1ubDFRM3AyTlc0NGJYWk9OVTE0V1RkQ09YWVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daU05qTjFWMVIwWm5aelNYaFJSRVZKWTJOdGVEaG9WaTFIVkRGQg,Earth Fellow: ecologies of data centres,UoE Student jobs,"UE07: £41,064.00 - £48,822.00 Per Annum Pro Rata (£22.50 per hour).

CSG / Edinburgh Earth Initiative / Department for Social Responsibility and Sustainability.

Part Time - 9 hours per week.

Fixed-t...",Midlothian,Midlothian,https://elxw.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/job/14489?utm_medium=search+engine&utm_source=google
SkhjVmRKNGloNUZvOGhKckFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTVGhVY1ZsQk16SXpibFpKYkZoRGVXbEtWR3MxT1RWbFZqRkdZakpQV1MxRVQxTkdVRTEwYmxaRVRVWkhTbk5tUmpCMlExRmFWVlk1VFUxZmFFWnhRa0ZsWVdsNFFtUlFVemd0VWs0MFYyc3llbTAzVVhoelNWQmtSVmRvT0RoSVduVlhSbE5PVlRWcmJVdFVVVlJSWDBoNE5ISm5PVlEzYzNOV1NEUTNSbUoyYldGTVNURVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daUlNuQXljVlZJWDBoVFpIZHRaWE5tWW5WaGEwY3dlbVk1VlVObg,Student Business Analyst: Data to Strategy (13‑Month),West Coast Partnership Development,"A leading transport provider is looking for a Student Business Analyst for a 13-month placement in Greater London. This role involves data analysis that informs major commercial decisions, supporting ...",N/A,United Kingdom,https://talents.studysmarter.co.uk/companies/west-coast-partnership-development/student-business-analyst-data-to-strategy-13%E2%80%91month-28305964/
M0k1WjZnUzlxTUhQeWs5T0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTVkJmVUROa1VGbDBhMEZPZGtReGNXUXdVMlJDUzFOaVYxcHNkRlYxWVhGNWFrdGZNRE5uUWtoSU1YVnBWVWQzTTBOVmJ6UkZSM1JtY1VsckxXZGlNbEZET0V4Nk9GaHJkbmRUZFZKUlExSllSMlpIWmtSUmNFZHVaa2xFZVVSR1FuQXpjVkpaUVZwRmRuVnVaa2wzVm5sV2RHczJUVmxqWDFSVFprOTZOa2RWWTE5emNXZ1NGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daUk56VkZjbk5NV2xKTlIxOU9Oek0zU21GWlEwcElORUpNWW0xMw,Senior Student Data Officer (HESA In-year Programme) - London,Imperial College London,"Senior Student Data Officer (HESA In-year Programme)
Job Type: Full-Time.
Starting Salary: 46614 - 56345 per annum + 46614 plus benefits
To find out more about the job please click the apply for job b...",N/A,Temple,https://www.jobleap.co.uk/job/LkSgRMAfF/senior-student-data-officer-hesa-inyear-programme-london
eDUxV3BURERoV1BoU1VLbUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURWhzYjNsaFgwTnNPV3hQWVRGMlJIZ3RZbTFTUW5ac1VrMXpUa2RqUmtoc1RrNVNNbEJNUVdkcGRreHZOM2xVZDIxV2J6WlRWVmxtU0dGbGNUWTBiRGRHTjBacVVrUjJRbnBhYjIxbVV6QmtXSGQ0T0hkMWVXbFlha05xUkVaa1gyTmFialZaY1hKR1NrTXRaRXRUUzNGaU5TMVJhVFZIUzBodGNWaFhVRGxaYlhCc05FY1NGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daU09Xd3daVmRQWkZaelFWSnJjblZ5TlRsd1JWaGxORzFQVFdSbg,Placement Student – Service Engineering - Digital and Data Analytics,TargetJobs UK,"Our culture believes in POWERING YOUR POTENTIAL. We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the ...",N/A,United Kingdom,https://talents.studysmarter.co.uk/companies/targetjobs-uk/placement-student-service-engineering-digital-and-data-analytics-14252178/
Y2ZBdFN5aE9aU1RzQmZxekFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMmhXYWxCMFlVaHlRM2Q1UVV4RmNtTjRaMlJFVFhwYWJWVlpZa0Z2UkdkMlQxRmZMVFpqVVVwM05tNVhTSE5YYVc1UE5EWlNjVmxKUm5oT1RXUXRTVUZWVjJFek5tdE1PRUp0YlVOQldXTmpRMDlNYXpKQk9EZDJUSGszYWtkVlNrdzFSbHB1WXpsSFRWaHZhMnN6VERoeGRXcFdjbWhPVEU1Sk1GQnZSMFpRZWkxaWNtVVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daUmRsRm5NRkk0VVhodlVIUXpZM2c0ZUY5aGMwRlBVRkpaUTNoQg,"Data Consultant – No relevant degree or experience required, immediate – reputed company Store",remote zest jobs,reputed company: We're an award-reputed company consultancy that specialises in hiring graduates and junior professionals without a relevant degree or experience in data and transforming them into ski...,N/A,Anywhere,https://remotezest.up.railway.app/job/data-consultant-no-relevant-degree-or-experience-required-immediate-reputed-company-store-3
eFJzek40XzBiWjNWNjN5ZkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTVE4yUlU1bmFVb3libEF5Y25sbWFFbE9RbUZoTTFaeVFqRTJWV0l3VXpWdmIzcFhhbVU0U0haMWNtNU1XamxyY1c5SWFrUjNSRjlWTlZSQ1VtVXhjR2hWTUdGeWFrTXRkblJWZFhaeVFqUkdjMUUxUld0VFMyTlRaVWd0U1haSlZ6aFVZMTlpUlhSQmMySnlUa0o0UWkxNlkyRTNjbGt5ZDJ3NE4yNDFVR2xDYTI5c1ZtSVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daUkxWWlFkMnBmYnprdFVEQXpibWR4WkhoNGVqWXhOVmhLYUhKUg,Learning Manager: Data-Driven Student Support,Outwood,A regional educational institution in East Midlands is seeking a Learning Manager to enhance student attainment through strategic monitoring and support. You will collaborate with teaching staff and w...,N/A,United Kingdom,https://talents.studysmarter.co.uk/companies/outwood/learning-manager-data-driven-student-support-21365559/
a0xiaHhyUlNKN21oS2FOaUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa2hmYkUxNmRFOVpkRmxhV1V4NGFuWnZWVkpaTUZSVU9YUnRMWGhTWVRSMFFVbDZURjlQV21ablJqRkZWMTlvVlVOd0xVTmxUWGxRVERCdmN6SnJRVVpaWTFoMGFtRnVaa2h2VjBGV1oybHJhbkZpTVc5YWVYTXdMVEJmU1RSU1JVSkpkVUpOUTBGR05GQlJjM0pWYURsT1RFTTBTR1ppZGpkRFpHVTFkR3hIUzA5V1kxWVNGMHBaV205aGRFeE1SVTFwUTNoak9GQnpZM0puTFZGM0dpSkJSSE55T1daU2EycFphMUUzUjJ4Q1FXVTNPWEY2YVMxV2FrZFBaRWRFT0U5Ug,IT Data Integration Manager (Student Records Evolution),Royal Holloway University of London,"Full-Time, Fixed Term (24 months)

Applications are invited for the post of IT Data Integration Manager (Student Records Evolution) in the IT Department

This post will play a vital role in supporting...",N/A,United Kingdom,https://bebee.com/gb/jobs/it-data-integration-manager-student-records-evolution-royal-holloway-university-of-london--techmap_gb_18472919
